miRNA,Gene
hsa-miR-21-5p,EGFR
hsa-miR-218-5p,EGFR
hsa-miR-27a-3p,EGFR
hsa-miR-302b-3p,EGFR
hsa-miR-30a-5p,EGFR
hsa-miR-542-5p,EGFR
hsa-miR-574-3p,EGFR
hsa-let-7b-5p,EP300
hsa-miR-149-5p,EP300
hsa-miR-181b-5p,EP300
hsa-miR-181d-5p,EP300
hsa-miR-194-5p,EP300
hsa-miR-200b-3p,EP300
hsa-miR-23b-3p,EP300
hsa-miR-25-3p,EP300
hsa-miR-26b-5p,EP300
hsa-miR-30a-3p,EP300
hsa-miR-30c-5p,EP300
hsa-miR-374a-5p,EP300
hsa-miR-574-3p,EP300
hsa-miR-574-5p,EP300
hsa-miR-92a-3p,EP300
hsa-miR-9-5p,EP300
hsa-miR-1268a,EPB41
hsa-miR-148b-3p,EPB41
hsa-miR-1908-3p,EPB41
hsa-miR-24-3p,EPB41
hsa-miR-30a-5p,EPB41
hsa-miR-30b-5p,EPB41
hsa-miR-30c-5p,EPB41
hsa-miR-30d-5p,EPB41
hsa-miR-30e-5p,EPB41
hsa-miR-423-5p,EPB41
hsa-miR-5001-3p,EPB41
hsa-miR-508-5p,EPB41
hsa-miR-544a,EPB41
hsa-miR-766-3p,EPB41
hsa-miR-128-3p,EPB41L1
hsa-miR-411-5p,EPB41L1
hsa-miR-498,EPB41L1
hsa-miR-10a-5p,EPB41L2
hsa-miR-155-5p,EPB41L2
hsa-miR-17-5p,EPB41L2
hsa-miR-222-3p,EPB41L2
hsa-miR-331-3p,EPB41L2
hsa-miR-34a-5p,EPB41L2
hsa-let-7b-5p,EPB41L3
hsa-miR-1297,EPB41L3
hsa-miR-26a-5p,EPB41L3
hsa-miR-26b-5p,EPB41L3
hsa-miR-498,EPB41L3
hsa-miR-92a-3p,EPB41L3
hsa-miR-125a-5p,ERBB2
hsa-miR-125b-5p,ERBB2
hsa-miR-134-5p,ERBB2
hsa-miR-193a-3p,ERBB2
hsa-miR-193a-5p,ERBB2
hsa-miR-199a-5p,ERBB2
hsa-miR-199b-5p,ERBB2
hsa-miR-2116-5p,ERBB2
hsa-miR-21-5p,ERBB2
hsa-miR-25-3p,ERBB2
hsa-miR-331-3p,ERBB2
hsa-miR-498,ERBB2
hsa-miR-155-5p,EXOC3
hsa-miR-145-5p,F11R
hsa-miR-377-3p,F11R
hsa-miR-455-3p,F11R
hsa-miR-522-3p,F11R
hsa-miR-10a-5p,FGFR1
hsa-miR-149-5p,FGFR1
hsa-miR-16-5p,FGFR1
hsa-miR-181b-5p,FGFR1
hsa-miR-214-3p,FGFR1
hsa-miR-424-5p,FGFR1
hsa-miR-503-5p,FGFR1
hsa-miR-561-5p,FGFR1
hsa-let-7g-5p,FN1
hsa-miR-200b-3p,FN1
hsa-miR-218-5p,FN1
hsa-miR-26b-5p,FN1
