ProbeID,Accession,Analyte,Control,cel67,miR142,miR155,miR18b,miR890
hsa-miR-649,MIMAT0003319,miRNA,20,20,20,20,20,28.28
hsa-miR-654-3p,MIMAT0004814,miRNA,20,20,20,20,20,36.89
hsa-miR-654-5p,MIMAT0003330,miRNA,20,20,20.66,21.13,20,22.14
hsa-miR-656-3p,MIMAT0003332,miRNA,20,21.07,25.79,21.58,24.75,20
hsa-miR-6720-3p,MIMAT0025851,miRNA,20,20,20,20,22.33,20
hsa-miR-6721-5p,MIMAT0025852,miRNA,26.76,20,27.78,45.53,20.8,27.51
hsa-miR-6724-5p,MIMAT0025856,miRNA,20,21.98,20.39,24.8,20,20
hsa-miR-758-3p+hsa-miR-411-3p,MIMAT0003879,miRNA,24.92,20,20,20,20,20
hsa-miR-761,MIMAT0010364,miRNA,20,20,20,35.13,20,20
hsa-miR-766-3p,MIMAT0003888,miRNA,20,20,20,20,20,22.91
hsa-miR-767-3p,MIMAT0003883,miRNA,20,20,20,20,20,20.36
hsa-miR-873-3p,MIMAT0022717,miRNA,20,20,31.07,46.6,23.25,20
hsa-miR-874-3p,MIMAT0004911,miRNA,24.52,28.34,20.4,24.5,27.8,20.68
hsa-miR-876-3p,MIMAT0004925,miRNA,20,20,20,20,20,20.6
hsa-miR-877-5p,MIMAT0004949,miRNA,20,26.15,22.7,22.02,20.26,26.27
hsa-miR-888-5p,MIMAT0004916,miRNA,22.18,27.09,20,24.8,20,24.39
hsa-miR-890,MIMAT0004912,miRNA,32.91,29.41,71.66,22.7,41.6,284787.62
hsa-miR-891b,MIMAT0004913,miRNA,20,20,20,22.01,20,20
hsa-miR-9-5p,MIMAT0000441,miRNA,20,20,20,20,20,20.03
hsa-miR-92a-3p,MIMAT0000092,miRNA,25.11,27.42,20,23.94,28.44,39
hsa-miR-92b-3p,MIMAT0003218,miRNA,20,20,20,36.53,20,20
hsa-miR-93-5p,MIMAT0000093,miRNA,125.75,105,103.79,79.27,84.79,95.44
hsa-miR-940,MIMAT0004983,miRNA,20,20,20,20,20,21.43
hsa-miR-944,MIMAT0004987,miRNA,43.6,48.35,39.49,47.87,69.32,37.25
